,Adult,Genres,Id,Imdb Id,Keywords,Production Companies,Production Countries,Release Date,Year,Tagline,Title,Budget,Popularity,Runtime,Vote Average,Vote Count,New Key,Worldwide,Domestic,Foreign
1059,False,"['Action', 'Drama', 'Fantasy', 'Horror', 'Thriller']",9945,tt0120877,"['based on novel', 'new mexico', 'party', 'vampire hunter', 'revenge', 'priest', 'church', 'skull', 'team', 'crucifix', 'cross', 'relic', 'vampire slayer', 'turning into a vampire']","['Columbia Pictures', 'Largo Entertainment', 'JVC Entertainment Networks', 'Film Office', 'Spooky Tooth Productions', 'Storm King Productions']",['United States of America'],4/15/1998,1998,From the Master of Evil. Comes a New Breed of Terror,Vampires,20000000,13.318722,108.0,5.8,262.0,"['based on novel', 'new mexico', 'party', 'vampire hunter', 'revenge', 'priest', 'church', 'skull', 'team', 'crucifix', 'cross', 'relic', 'vampire slayer', 'turning into a vampire']",20308772,20308772,
1060,False,['Drama'],73,tt0120586,"['usa', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'neo nazism', 'xenophobia', 'interracial friendship', 'nazism']","['New Line Cinema', 'Savoy Pictures']",['United States of America'],10/30/1998,1998,Some Legacies Must End.,American History X,20000000,18.157166,119.0,8.2,3120.0,"['usa', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'neo nazism', 'xenophobia', 'interracial friendship', 'nazism']",23875127,6719864,17155263
1064,False,"['Drama', 'Action', 'Thriller', 'Crime']",9882,tt0133952,"['islam', 'muslim', 'fbi', 'car bomb']","['Twentieth Century Fox Film Corporation', 'Lynda Obst Productions']",['United States of America'],11/6/1998,1998,On November 6th our freedom is history,The Siege,70000000,9.019114,116.0,6.1,361.0,"['islam', 'muslim', 'car bomb']",116672912,40981289,75691623
1065,False,['Comedy'],10663,tt0120484,"['sport', 'social outcast', 'ridicule', 'lawn mower', 'deserted by husband', 'low self esteem']",['Touchstone Pictures'],['United States of America'],11/6/1998,1998,You can mess with him. But don't mess with his water.,The Waterboy,23000000,9.461823,90.0,5.9,521.0,"['sport', 'social outcast', 'ridicule', 'lawn mower', 'deserted by husband', 'low self esteem']",185991646,161491646,24500000
1066,False,"['Drama', 'History']",4518,tt0127536,"['queen', 'duke', 'historical figure', 'queen elizabeth i', 'tudors', 'treason', 'catholic', 'protestant', 'palace intrigue', '16th century', 'british monarchy', 'lgbt interest']","['Channel Four Films', 'PolyGram Filmed Entertainment', 'Working Title Films']",['United States of America'],9/13/1998,1998,Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.,Elizabeth,30000000,7.566321,124.0,7.2,346.0,"['duke', 'historical figure', 'treason', 'catholic']",82150642,30082699,52067943
1068,False,"['Horror', 'Mystery', 'Thriller']",3600,tt0130018,"['competition', 'island', 'radio', 'bahamas', 'college', 'knife', 'fisherman', 'vacation', 'revenge', 'murder', 'marijuana', 'resort', 'blood', 'slasher', 'storm', 'hook']","['Columbia Pictures', 'Mandalay Entertainment', 'Summer Knowledge LLC']",['United States of America'],11/13/1998,1998,Someone is dying for a second chance.,I Still Know What You Did Last Summer,65000000,11.023042,100.0,5.1,381.0,"['competition', 'island', 'radio', 'bahamas', 'college', 'knife', 'fisherman', 'vacation', 'revenge', 'murder', 'marijuana', 'resort', 'blood', 'slasher', 'storm', 'hook']",40002112,40002112,
1069,False,"['Comedy', 'Family']",17037,tt0155753,"['holiday', 'santa claus', 'sabotage', 'selfishness', 'bribe', 'woman director', 'cross country trip', 'christmas', 'father son relationship', 'santa claus costume', 'boyfriend girlfriend relationship']",['Walt Disney Pictures'],['United States of America'],11/12/1998,1998,Somewhere between L.A. and N.Y. Jake found the meaning of Christmas.,I'll Be Home for Christmas,30000000,3.366048,86.0,5.2,65.0,"['holiday', 'woman director']",12214338,12214338,
1070,False,"['Fantasy', 'Drama', 'Mystery']",297,tt0119643,"['life and death', 'love at first sight', 'broken engagement', 'fireworks', 'religion and supernatural', 'teenage crush', 'fate', 'doctor']","['Universal Pictures', 'City Light Films']",['United States of America'],11/12/1998,1998,Sooner or later everyone does.,Meet Joe Black,90000000,14.026744,178.0,6.9,1174.0,"['life and death', 'love at first sight', 'broken engagement', 'fireworks', 'religion and supernatural', 'teenage crush', 'fate', 'doctor']",142940100,44619100,98321000
1073,False,"['Action', 'Drama', 'Thriller']",9798,tt0120660,"['corruption', 'helicopter', 'falsely accused', 'identity', 'mexican standoff', 'blackmail', 'intelligence', 'wiretap', 'satellite', 'politics', 'exploding building', 'suspense', 'mystery', 'mafia', 'conspiracy', 'lawyer', 'crime', 'privacy', 'surveillance', 'baltimore maryland']","['Jerry Bruckheimer Films', 'Scott Free Productions', 'Touchstone Pictures', 'No Such Productions']",['United States of America'],11/20/1998,1998,It's not paranoia if they're really after you.,Enemy of the State,90000000,12.978751,132.0,6.7,1266.0,"['corruption', 'helicopter', 'falsely accused', 'identity', 'mexican standoff', 'blackmail', 'intelligence', 'wiretap', 'satellite', 'politics', 'exploding building', 'suspense', 'mystery', 'mafia', 'conspiracy', 'lawyer', 'crime', 'privacy', 'surveillance', 'baltimore maryland']",250849789,111549836,139299953
1075,False,"['Adventure', 'Animation', 'Comedy', 'Family']",9487,tt0120623,"['winter', 'fight', 'ant', 'invention', 'collector', 'kids and family', 'grass']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],11/25/1998,1998,An epic presentation of miniature proportions.,A Bug's Life,120000000,16.869208999999998,95.0,6.8,2379.0,"['winter', 'fight', 'ant', 'invention', 'collector', 'kids and family', 'grass']",363258859,162798565,200460294
1077,False,['Drama'],666,tt0140888,"['brazilian', 'brazil', 'rio de janeiro', 'letter', 'wilderness', 'teacher', 'alcoholic', 'railroad', 'missing father', 'long lost relative']","['MACT Productions', 'Videofilms', 'Riofilm']",['Brazil'],1/16/1998,1998,He was looking for the father he never knew. She was looking for a second chance.,Central Station,2900000,4.919716,113.0,7.6,132.0,"['brazilian', 'brazil', 'rio de janeiro', 'letter', 'wilderness', 'teacher', 'alcoholic', 'railroad', 'missing father', 'long lost relative']",5969553,5969553,
1078,False,"['History', 'Drama', 'War']",2042,tt0120070,"['civil war', 'women', 'rape', 'mercenary', 'war', 'serbian']",[],['United States of America'],11/20/1998,1998,"He's fighting a war he doesn't believe in, hoping to find something he does.",Savior,10000000,3.699017,99.0,7.1,29.0,"['civil war', 'women', 'rape', 'mercenary', 'war', 'serbian']",14328,14328,
1080,False,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",9447,tt0120595,"['piggy bank', 'shortage of money', 'pig', 'farm', 'piglet', 'talking animal', 'talking dog', 'dog', 'chimpanzee']",['Kennedy Miller Productions'],['Australia'],11/25/1998,1998,This little pig went to the city...,Babe: Pig in the City,90000000,6.229629,92.0,5.3,312.0,"['piggy bank', 'shortage of money', 'pig', 'farm', 'piglet', 'talking animal', 'talking dog', 'dog', 'chimpanzee']",69131860,18319860,50812000
1081,False,"['Drama', 'Comedy', 'Romance']",12257,tt0119304,"['waitress', 'infidelity', 'planned murder', 'pregnancy and birth', 'funeral', 'widow', 'hamburger']","['Warner Bros.', 'Baltimore Pictures', 'Kasdan Pictures']",['United States of America'],11/25/1998,1998,A long shot romance in a short order world.,Home Fries,15000000,2.312844,93.0,4.8,32.0,"['waitress', 'infidelity', 'planned murder', 'pregnancy and birth', 'funeral', 'widow', 'hamburger']",10493366,10493366,
1083,False,"['Comedy', 'Crime', 'Thriller']",10029,tt0124198,"['prostitute', 'hotel', 'cocaine', 'nudity', 'psychopath', 'stag night', 'friends', 'murder', 'independent film', 'marijuana', 'blood', 'wedding', 'las vegas', 'violence', 'death']","['Interscope Communications', 'VBT Productions', 'Ballpark Productions Partnership']",['United States of America'],9/11/1998,1998,They've been bad. Very bad.,Very Bad Things,30000000,10.432293,100.0,6.2,182.0,"['prostitute', 'hotel', 'cocaine', 'nudity', 'psychopath', 'stag night', 'friends', 'murder', 'independent film', 'marijuana', 'blood', 'wedding', 'las vegas', 'violence', 'death']",9898412,9898412,
1084,False,"['Horror', 'Mystery', 'Thriller']",11252,tt0155975,"['motel', 'stolen money', 'murder', 'psychosis', 'psycho']","['Imagine Entertainment', 'Universal Pictures']",['United States of America'],12/4/1998,1998,A new vision of a classic nightmare.,Psycho,60000000,6.715897999999998,105.0,4.8,233.0,['motel'],37170655,21485655,15685000
1087,False,"['Comedy', 'Family', 'Drama', 'Fantasy']",9745,tt0141109,"['holiday', 'loss of loved one', 'christmas party', 'loss', 'snowman', 'christmas']","['Warner Bros.', 'Azoff Entertainment', 'The Canton Company']",['United States of America'],12/10/1998,1998,Jack Frost is getting a second chance to be the world's coolest dad... if he doesn't melt first.,Jack Frost,27000000,7.372419,101.0,5.5,254.0,"['holiday', 'loss of lover', 'christmas party', 'loss of father', 'loss']",34562556,34562556,
1088,False,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",200,tt0120844,"['starship', 'utopia', 'alien', 'space opera', 'retribution', 'spacecraft officer', 'exploding ship', 'cosmos']",['Paramount Pictures'],['United States of America'],12/10/1998,1998,The battle for paradise has begun.,Star Trek: Insurrection,70000000,9.538877,103.0,6.3,402.0,"['space opera', 'retribution', 'spacecraft officer']",112587658,70187658,42400000
1089,False,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']",9837,tt0120794,"['moses', 'egypt', 'pyramid', 'exodus', 'kingdom', 'governance', 'ancient egypt', 'hebrew', 'pharaoh']","['DreamWorks SKG', 'DreamWorks Animation']",['United States of America'],12/15/1998,1998,The Power Is Real.,The Prince of Egypt,70000000,11.898185,99.0,6.9,847.0,"['moses', 'egypt', 'pyramid', 'exodus', 'kingdom', 'governance', 'ancient egypt', 'hebrew', 'pharaoh']",218613188,101413188,117200000
1090,False,"['Comedy', 'Drama']",11545,tt0128445,"['private school', 'lone wolf', 'theatre play', 'theatre group', 'theater director', 'coming of age', 'precocious child']",['Touchstone Pictures'],['United States of America'],9/17/1998,1998,Love. Expulsion. Revolution.,Rushmore,9000000,5.997054,93.0,7.5,688.0,"['private school', 'lone wolf', 'theatre play', 'theatre group', 'theatre director']",17105219,17105219,
1091,False,"['Romance', 'History']",1934,tt0138097,"['shakespeare', 'oscar award', 'theatre play', 'theatre group', 'theatre milieu', 'author', 'speculative']","['Miramax Films', 'Universal Pictures', 'Bedford Falls Productions']",['United States of America'],12/11/1998,1998,Love is the only inspiration.,Shakespeare in Love,25000000,13.813154999999998,122.0,6.8,831.0,"['shakespeare', 'oscar award', 'theatre play', 'theatre group', 'theatre milieu', 'author', 'speculative']",289317794,100317794,189000000
1092,False,['Drama'],1375,tt0100507,"['philadelphia', 'transporter', 'father son relationship', 'cataclysm', 'trainer', 'restart', 'bankrupt', 'boxer', 'disappointment', 'career', 'boxing match', 'training', 'world champion', 'challenger', 'street riots', 'sponsorship', 'challenge', 'champion', 'tax consultant', 'boxing school', 'praise', 'friendship', 'sport']",['United Artists'],['United States of America'],10/18/1990,1990,Go for it!,Rocky V,42000000,14.007329,104.0,5.3,688.0,"['philadelphia', 'transporter', 'father son relationship', 'cataclysm', 'trainer', 'restart', 'bankrupt', 'boxer', 'disappointment', 'career', 'boxing match', 'training', 'world champion', 'challenger', 'street riots', 'sponsorship', 'challenge', 'champion', 'tax consultant', 'boxing school', 'praise', 'friendship', 'sport']",119946358,40946358,79000000
1093,False,"['Comedy', 'Romance']",9489,tt0128853,"['romantic comedy', 'online dating', 'woman director']",['Warner Bros.'],['United States of America'],12/17/1998,1998,Someone you pass on the street may already be the love of your life.,You've Got Mail,65000000,10.237996,119.0,6.3,859.0,"['romantic comedy', 'online dating']",250821495,115821495,135000000
1096,False,"['Drama', 'History', 'War']",8741,tt0120863,"['based on novel', 'japanese', 'world war ii', 'battle assignment', 'invasion', 'marine corps', 'commander', 'pacific', 'rifle', 'survival', 'jungle', 'infantry', 'steel helmet', 'sergeant', 'pacific island', 'soldier', 'battle', 'fighting', 'guadalcanal', 'awol']","['Fox 2000 Pictures', 'Phoenix Pictures']","['Canada', 'United States of America']",12/25/1998,1998,Every man fights his own war.,The Thin Red Line,52000000,9.783966,170.0,7.2,793.0,"['based on novel', 'japanese', 'world war ii', 'battle assignment', 'invasion', 'marine corps', 'commander', 'pacific', 'rifle', 'survival', 'jungle', 'infantry', 'steel helmet', 'sergeant', 'pacific island', 'soldier', 'battle', 'fighting', 'guadalcanal', 'awol']",98126565,36400491,61726074
1097,False,"['Horror', 'Mystery', 'Science Fiction']",9276,tt0133751,"['american football', 'high school', 'alien', 'teacher', 'teenager', 'drug', 'alien infection', 'doppelganger', 'anti authority', 'mob', 'students']","['Dimension Films', 'Los Hooligans Productions']",['United States of America'],12/25/1998,1998,Take me to your teacher.,The Faculty,15000000,13.462253,104.0,6.2,500.0,"['american football', 'high school', 'alien', 'teacher', 'teenager', 'drug', 'alien infection', 'doppelganger', 'anti authority', 'mob', 'students']",40283321,40283321,
1098,False,"['Action', 'Adventure', 'Family', 'Fantasy']",9822,tt0120751,"['gorilla', 'dying and death', 'uganda', 'poacher', 'remake', 'primatologist', 'giant ape']","['Walt Disney Pictures', 'RKO Pictures']",['United States of America'],12/25/1998,1998,Survival is an instinct.,Mighty Joe Young,90000000,6.939576,114.0,5.9,208.0,['gorilla'],50632037,50632037,
1099,False,"['Comedy', 'Drama']",10312,tt0129290,"['nurse', 'hospital', 'doctor', 'laughter']","['Universal Pictures', 'Bungalow 78 Productions', 'Blue Wolf']",['United States of America'],12/25/1998,1998,Laughter is contagious,Patch Adams,50000000,12.52181,115.0,7.0,863.0,"['nurse', 'hospital', 'doctor']",202292902,135026902,67266000
1101,False,['Drama'],9422,tt0120633,"['success', 'advancement', 'right and justice', 'leukemia', 'lawyer', 'business start-up']","['Paramount Pictures', 'Wildwood Enterprises', 'Touchstone Pictures']",['United States of America'],3/5/1998,1998,Justice has its price.,A Civil Action,70000000,9.353499,115.0,6.1,113.0,"['success', 'advancement', 'right and justice', 'leukemia', 'lawyer']",56709981,56709981,
1111,False,"['Horror', 'Action', 'Science Fiction']",9423,tt0120458,"['deserter', 'tornado', 'russian', 'shooting', 'evil', 'insurance']","['Universal Pictures', 'BBC Films', 'Dark Horse Entertainment', 'Mutual Film Company', 'Marubeni', 'Valhalla Motion Pictures', 'UGC PH']","['United States of America', 'United Kingdom', 'Germany', 'Japan', 'France']",1/14/1999,1999,Life on earth is in for a shock.,Virus,75000000,7.116536999999999,99.0,5.0,151.0,"['deserter', 'tornado', 'russian', 'shooting', 'evil', 'insurance']",30652005,14036005,16616000
1113,False,"['Drama', 'Action', 'Thriller', 'Crime']",45712,tt0120683,"['on the run', 'streetwise', 'cigarette smoke', 'moll']","['Columbia Pictures', 'Mandalay Entertainment']",['United States of America'],1/22/1999,1999,Gloria. Big mouth. Big attitude. But who knew she had a big heart.,Gloria,30000000,1.807605,108.0,5.5,13.0,"['on the run', 'streetwise', 'cigarette smoke']",4197729,4197729,
1114,False,"['Comedy', 'Romance']",10314,tt0160862,"['tv star', 'jeep', 'volleyball', 'misfit', 'teen angst', 'house party', 'teen movie', 'teenager', 'popularity', 'little people', 'high school student', 'young love', 'prom queen', 'pygmalion', 'clown makeup', 'performance art', 'beatboxing', 'self expression', 'tripping']","['Miramax Films', 'Tapestry Films', 'FilmColony']",['United States of America'],1/29/1999,1999,These two opposites attract... but EVERYONE'S trying to keep them apart!,She's All That,10000000,7.0649820000000005,95.0,5.7,425.0,"['tv star', 'jeep', 'volleyball', 'misfit', 'teen angst', 'house party', 'teen movie', 'teenager', 'popularity', 'little people', 'high school student', 'young love', 'prom queen', 'pygmalion', 'clown makeup', 'performance art', 'beatboxing', 'self expression', 'tripping']",103166989,63366989,39800000
1116,False,"['Drama', 'Action', 'Thriller', 'Crime']",2112,tt0120784,"['new york city', 'prostitute', 'hotel', 'robbery', 'based on novel or book', 'anti hero', 'heroin', 'greed', 'revenge', 'money', 'violence', 'drugs', 'criminal', 'double cross', 'neo-noir', 'corrupt cop']","['Paramount Pictures', 'Icon Entertainment International']",['United States of America'],2/5/1999,1999,No More Mr. Nice Guy.,Payback,90000000,9.112008,100.0,6.7,557.0,"['new york', 'heroin', 'money']",161626121,81526121,80100000
1117,False,['Comedy'],16172,tt0145893,"['restaurant', 'department store', 'kitchen', 'love', 'crab', 'chef']","['New Regency Pictures', 'Taurus Film', 'Polar Entertainment Corporation']",['United States of America'],2/5/1999,1999,Magic opened up their hearts... Love did the rest.,Simply Irresistible,6000000,6.053045,95.0,5.5,52.0,"['restaurant', 'department store', 'kitchen', 'love', 'crab', 'chef']",4398989,4398989,
1118,False,"['Comedy', 'Romance']",11622,tt0124298,"['isolation', 'atomic bomb', 'bunker', 'shelter']","['New Line Cinema', 'Forge', 'Midnight Sun Pictures']",['United States of America'],2/12/1999,1999,She'd never met anyone like him. He's never met anyone... Period.,Blast from the Past,35000000,8.355977000000001,112.0,6.3,247.0,"['isolation', 'atomic bomb', 'bunker']",40263020,26511114,13751906
1119,False,"['Romance', 'Drama']",10207,tt0139462,"['sailboat', 'anonymous letter', 'sailing', 'love letter', 'bottle', 'cape cod', 'message in a bottle']","['Bel Air Entertainment', 'DiNovi Pictures', 'Tiger Productions']",['United States of America'],2/22/1999,1999,A story of love lost and found.,Message in a Bottle,80000000,5.101392,131.0,5.9,198.0,"['sailboat', 'anonymous letter', 'sailing', 'love letter']",118880016,52880016,66000000
1120,False,"['Comedy', 'Drama', 'Family', 'Science Fiction']",9849,tt0120764,"['alien', 'martian', 'based on tv series']",['Walt Disney Pictures'],['United States of America'],2/11/1999,1999,The martian has landed. There goes the neighborhood.,My Favorite Martian,65000000,12.65102,94.0,5.1,81.0,"['alien', 'martian', 'based on tv series']",36850101,36850101,
1121,False,['Comedy'],18892,tt0155776,"['confession', 'jealousy', 'nightmare', 'ambition', 'groupie', 'high school', 'cafeteria', 'revenge', 'prom', 'dead body', 'dating', 'fashion', 'rock band', 'fantasy sequence', 'slow motion', 'multiple identities', 'pop music', 'makeover', 'polaroid camera', 'public humiliation', 'social outcast', 'sidekick', 'prank gone wrong', 'cliques', 'social climbing', 'back stabbing', 'dead teenager']","['TriStar Pictures', 'Crossroads Films']",['United States of America'],1/30/1999,1999,Suck it and see...,Jawbreaker,3000000,7.434797,87.0,5.9,93.0,"['confession', 'jealousy', 'nightmare', 'ambition', 'groupie', 'high school', 'cafeteria', 'revenge', 'prom', 'dead body', 'dating', 'fashion', 'rock band', 'fantasy sequence', 'slow motion', 'multiple identities', 'pop music', 'makeover', 'polaroid camera', 'public humiliation', 'social outcast', 'sidekick', 'prank gone wrong', 'cliques', 'social climbing', 'back stabbing', 'dead teenager']",3117085,3117085,
1123,False,"['Comedy', 'Crime']",1542,tt0151804,"['suburbia', 'downsizing', 'software engineer', 'burnout', 'dallas texas', 'beach resort', 'coworker relationship', 'laziness', 'duringcreditsstinger']","['Twentieth Century Fox Film Corporation', 'Cubicle Inc.']",['United States of America'],2/19/1999,1999,Work sucks.,Office Space,10000000,12.329066,89.0,7.4,1068.0,"['suburbia', 'downsizing', 'software engineer', 'burnout', 'dallas texas', 'beach resort', 'coworker relationship', 'laziness', 'duringcreditsstinger']",10827810,10827810,
1124,False,"['Comedy', 'Drama', 'Romance']",15256,tt0137338,"[""new year's eve"", 'relationship', 'manhattan, new york city', 'woman director']",['Paramount Pictures'],['United States of America'],2/26/1999,1999,It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes,6000000,3.227046,101.0,6.1,44.0,"['independent film', 'relationship', 'woman director']",6852450,6852450,
1125,False,"['Thriller', 'Crime', 'Mystery']",8224,tt0134273,"['pornography', 'porn actor', 'loss of daughter', 'child pornography', 'private investigator', 'subculture']",['Columbia Pictures Corporation'],['United States of America'],2/26/1999,1999,You can't prepare for where the truth will take you.,8MM,40000000,7.473717999999999,123.0,6.1,479.0,"['pornography', 'porn actor', 'loss of daughter', 'child pornography', 'private investigator', 'subculture']",96618699,36663315,59955384
1128,False,['Horror'],10906,tt0105128,"['underdog', 'father son relationship', 'veterinarian', 'step father', 'dog']","['Paramount Pictures', 'Columbus Circle Films']",['United States of America'],8/28/1992,1992,Raise Some Hell.,Pet Sematary II,8000000,6.823445,100.0,5.0,107.0,"['underdog', 'father son relationship', 'veterinarian', 'step father', 'dog']",17092453,17092453,
1129,False,"['Comedy', 'Crime']",9535,tt0122933,"['new york city', 'mafia boss', 'wedding', 'psychiatrist']","['Spring Creek Productions', 'Warner Bros.', 'Tribeca Productions', 'Baltimore Pictures']","['Australia', 'United States of America']",3/5/1999,1999,New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.,Analyze This,80000000,7.634017,103.0,6.4,512.0,"['new york', 'mafia boss', 'wedding']",176885658,106885658,70000000
1130,False,"['Action', 'Crime', 'Mystery', 'Thriller']",9455,tt0142192,"['new york city', 'life and death', 'chinatown', 'gang war', 'police', 'triad']","['New Line Cinema', 'Illusion Entertainment Group']",['United States of America'],3/12/1999,1999,You can't play by the rules if there aren't any.,The Corruptor,25000000,9.208831,110.0,6.1,60.0,"['new york', 'life and death', 'gang war', 'police', 'china town']",24493601,15164492,9329109
1131,False,"['Drama', 'Romance', 'Thriller']",796,tt0139134,"['upper class', 'sexual obsession', 'sex', 'bet', 'sadistic', 'drug abuse', 'brother sister relationship', 'cynic', 'cocaine', 'virgin', 'manipulation', 'seduction', 'love letter', 'private school', 'innocence', 'addiction', 'love']","['Columbia Pictures', 'Cruel Productions', 'Newmarket Capital Group']",['United States of America'],3/5/1999,1999,"In the game of seduction, There is only one rule: Never fall in love.",Cruel Intentions,10500000,8.181065,97.0,6.6,848.0,"['upper class', 'sexual obsession', 'sex', 'bet', 'sadistic', 'drug abuse', 'brother sister relationship', 'cynic', 'cocaine', 'virgin', 'manipulation', 'seduction', 'love letter', 'private school', 'innocence', 'addiction', 'love']",75902208,38328567,37573641
1132,False,"['Drama', 'Mystery']",30943,tt0120646,"['kidnapping', 'boy']","['Columbia Pictures Corporation', 'Mandalay Entertainment']",['United States of America'],3/12/1999,1999,The search for her son was over. The search for her family was just beginning.,The Deep End of the Ocean,38000000,5.784680000000002,106.0,6.0,58.0,"['kidnapping', 'boy']",28121100,13898649,14222451
1133,False,"['Horror', 'Thriller', 'Science Fiction']",7341,tt0144814,"['suicide', 'male nudity', 'female nudity', 'fire', 'nudity', 'asylum', 'telekinesis', 'high school', 'swimming pool', 'party', 'sequel', 'murder', 'prom', 'teacher', 'decapitation', 'blood', 'splatter', 'weightlifting', 'teen suicide']","['United Artists', 'Red Bank Films']",['United States of America'],3/11/1999,1999,Looks Can Kill,The Rage: Carrie 2,21000000,4.766591,104.0,5.1,79.0,"['suicide', 'male nudity', 'female nudity', 'fire', 'nudity', 'asylum', 'telekinesis', 'high school', 'swimming pool', 'party', 'sequel', 'murder', 'prom', 'teacher', 'decapitation', 'blood', 'splatter', 'weightlifting', 'teen suicide']",17762705,17762705,
1134,False,"['Action', 'Science Fiction']",10350,tt0131646,"['fight', 'pilot', 'space', 'based on video game', 'space opera', 'space carrier']","['No Prisoners Productions', 'Origin Systems Inc.', 'American Entertainment Investors', 'Wing Commander Productions', 'Digital Anvil']","['Luxembourg', 'United States of America']",3/11/1999,1999,An action packed thrill ride!,Wing Commander,30000000,5.924059,100.0,4.0,75.0,"['fight', 'pilot', 'outer space', 'based on video game', 'space opera']",11578059,11578059,
1136,False,"['Science Fiction', 'Comedy', 'Family']",22345,tt0118665,"['baby', 'genius', 'toddler', 'baby geniuses']","['TriStar Pictures', 'Crystal Sky Worldwide', 'Triumph']",['United States of America'],3/12/1999,1999,Think innocent. Think helpless. Think again. Naps are history.,Baby Geniuses,12000000,7.707344,97.0,3.3,75.0,"['baby', 'genius', 'toddler']",36450736,27250736,9200000
1137,False,"['Romance', 'Comedy']",1641,tt0141098,"['cataclysm', 'airplane', 'single', 'travel', 'wedding', 'storm', 'extramarital affair']",['DreamWorks SKG'],['United States of America'],3/12/1999,1999,"He went from the eye of the storm, into the arms of a hurricane.",Forces of Nature,75000000,7.906035,105.0,5.1,141.0,"['cataclysm', 'airplane', 'single', 'travel', 'wedding', 'storm', 'extramarital affair']",93900680,52900680,41000000
1138,False,"['Animation', 'Drama', 'Family']",47288,tt0160429,"['musical', 'king', 'school teacher', 'siam']","['NEST Family Entertainment', 'Rich Animation Studios', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],3/19/1999,1999,The All New Animated Family Spectacular Adapted From The Musical By Rodgers And Hammerstein,The King and I,25000000,1.466461,87.0,5.0,23.0,"['musical', 'king', 'school teacher']",11993021,11993021,
1139,False,"['Comedy', 'Horror', 'Thriller', 'Western']",10212,tt0129332,"['winter', 'cliff', 'cooking', 'cave', 'nudity', 'chase', 'fort', 'army', 'murder', 'survival', 'snow', 'camp', 'soldier', 'violence', 'cannibal', 'madness', 'stranger', 'american mexican war', 'woman director', 'wendigo', 'military outpost']","['Twentieth Century Fox Film Corporation', 'Fox 2000 Pictures', 'ETIC Films', 'Heyday Films']","['Czech Republic', 'United Kingdom', 'United States of America']",3/16/1999,1999,You Are Who You Eat,Ravenous,12000000,5.486644999999998,100.0,6.8,144.0,"['winter', 'cliff', 'cooking', 'cave', 'nudity', 'chase', 'fort', 'army', 'murder', 'survival', 'snow', 'camp', 'soldier', 'violence', 'cannibal', 'madness', 'stranger', 'american mexican war', 'woman director', 'wendigo', 'military outpost']",2062405,2062405,
1143,False,['Comedy'],11374,tt0131369,"['tv show', 'tv station', 'simulated reality ', 'reality tv', 'tv star']","['Imagine Entertainment', 'Universal Pictures']",['United States of America'],3/26/1999,1999,Fame. Be careful. It's out there.,Edtv,80000000,7.489389999999998,122.0,5.7,168.0,"['tv show', 'tv station', 'simulated reality ', 'reality tv', 'tv star']",35242897,22431897,12811000
1144,False,"['Action', 'Mystery', 'Thriller']",16379,tt0120757,"['undercover', 'drug traffic', 'undercover cop']",[],['United States of America'],3/26/1999,1999,First they broke the law. Now they are the law.,The Mod Squad,50000000,3.826503,92.0,4.1,37.0,"['undercover', 'drug traffic']",13263993,13263993,
1145,False,"['Drama', 'Romance']",28029,tt0120613,"['adultery', 'infidelity', 'puberty', 'woodstock', 'moon landing', 'first kiss', '1960s', 'summer holiday']","['Miramax Films', 'Village Roadshow Pictures', 'Groucho II Film Partnership', 'Punch 21 Productions']","['Australia', 'United States of America']",1/29/1999,1999,It was the summer of Woodstock... when she became the woman she always wanted to be.,A Walk on the Moon,14000000,7.703645,107.0,6.2,21.0,"['adultery', 'woodstock']",4750660,4750660,
1146,False,"['Action', 'Science Fiction']",603,tt0133093,"['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'fight', 'insurgence', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'woman director', 'messiah']","['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros.']","['Australia', 'United States of America']",3/30/1999,1999,Welcome to the Real World.,The Matrix,63000000,33.366332,136.0,7.9,9079.0,"['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'fight', 'insurgence', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'woman director', 'messiah']",463517383,171479930,292037453
